User Story ID,User Story,Estimate (size),Priority,Sprint,Task owner,"Estimated effort in hours or days, optional"
CMP-001,"As a developer, I want a time-boxed spike that proves Bulbank Mobile's authenticated session can be passed to the complaints backend via OIDC, so that we confirm clients do not need KEP before we build the submission flow.",Large,1,1,Integration,3 days
CMP-002,"As a developer, I want a sandbox round-trip with CBS that reads a sample client's accounts and last 30 days of transactions, so that our AI Copilot has real context to assemble.",Medium,1,1,Backend,2 days
CMP-003,"As a developer, I want a spike on the AI context-assembly pipeline that pulls transactions, prior cases and similar resolutions for a sample client, so that we know whether an off-the-shelf model or custom fine-tuning is needed for response drafting.",Medium,1,1,AI,2 days
CMP-004,"As a product owner, I want a reviewed click-through prototype of the client complaint submission screens, so that copy, categories and steps are agreed before development sprints.",Medium,2,1,PO / UX,2 days
CMP-005,"As an architect, I want a short written decision on idempotency keys and correlation IDs for complaint submissions, so that retries cannot create duplicate cases.",Small,2,1,Architect,1 day
CMP-006,"As a client, I want to start a new complaint in Bulbank Mobile, choose a category and describe the problem, and save a draft, so that I can finish later without losing input.",Medium,1,2,Mobile Channel,2 days
CMP-007,"As a client, I want to attach supporting documents (PDF, JPG, PNG up to 10 MB) to my complaint, so that I can provide evidence without visiting a branch.",Medium,1,2,Backend + Mobile,2 days
CMP-008,"As a client, I want to submit my draft and immediately see a reference number with the expected SLA, so that I know the case is registered and when to expect a response.",Medium,1,2,Backend,2 days
CMP-009,"As a client, I want push notifications when my case status changes (registered, in investigation, resolved), so that I do not have to poll the complaints screen.",Small,1,3,Mobile + Backend,1 day
CMP-010,"As the bank, I want each submitted complaint auto-categorized and routed to the right specialist queue by category and product, so that cases reach domain experts without manual triage.",Medium,1,3,AI + Backend,2 days
CMP-011,"As a client, I want to see all my complaints in a status list (open, in progress, resolved), so that I have full visibility of my history in one place.",Small,2,3,Mobile Channel,1 day
CMP-012,"As a specialist, I want complaints routed to me by category and expertise with full client context preloaded, so that I do not spend the first 10 minutes hunting through CBS and CRM.",Large,1,4,Backend,3 days
CMP-013,"As a specialist, I want the AI Copilot to assemble case context (transactions, prior cases, similar resolutions) and propose a draft response, so that I can focus on judgement instead of data gathering.",Large,1,4,AI + Backend,4 days
CMP-014,"As a supervisor, I want to approve any monetary action (fee refund, compensation, reversal) before it executes in CBS, so that AI-suggested actions cannot bypass the regulatory requirement for human authorization.",Medium,1,4,Backend,2 days
CMP-015,"As the bank, I want approved monetary actions to execute automatically through CBS (fee reversal, compensation credit), so that the specialist does not have to switch systems to apply the resolution.",Medium,1,5,Backend + Integration,2 days
CMP-016,"As a client, I want to receive the specialist's response in-app with a clear accept or dispute action, so that I can close the case or escalate without leaving the app.",Small,1,5,Mobile Channel,1 day
CMP-017,"As a client, I want to escalate to a supervisor if I dispute the first response, and for the supervisor to see the full audit log, so that I have a defined second line without going to external regulators.",Medium,2,5,Backend + Mobile,2 days
CMP-018,"As compliance, I want automated SLA monitoring that flags cases approaching their regulatory deadline (3 days / 15 days / 35 days), so that we never breach ZPUPS or EBA reporting requirements.",Medium,1,6,Backend,2 days
CMP-019,"As the bank, I want regulatory reporting exports (EBA JC 2018 35, BNB) generated on demand from the audit log, so that we can respond to supervision requests without manual data extraction.",Large,1,6,Backend + Compliance,3 days
CMP-020,"As support staff, I want tools to reopen or revoke a complaint by reference number, so that I can handle exceptional cases and corrections from one place.",Small,3,6,Backend,1 day
